inclinacion_columna,angulo_cuello,ang_rodilla_izq,ang_rodilla_der,ang_codo_izq,ang_codo_der,inclinacion_hombros,inclinacion_caderas,ang_cadera_izq,ang_cadera_der,adelanto_cabeza,altura_cadera_relativa,asimetria_hombros,kp_nose_x,kp_nose_y,kp_left_eye_x,kp_left_eye_y,kp_right_eye_x,kp_right_eye_y,kp_left_ear_x,kp_left_ear_y,kp_right_ear_x,kp_right_ear_y,kp_left_shoulder_x,kp_left_shoulder_y,kp_right_shoulder_x,kp_right_shoulder_y,kp_left_elbow_x,kp_left_elbow_y,kp_right_elbow_x,kp_right_elbow_y,kp_left_wrist_x,kp_left_wrist_y,kp_right_wrist_x,kp_right_wrist_y,kp_left_hip_x,kp_left_hip_y,kp_right_hip_x,kp_right_hip_y,kp_left_knee_x,kp_left_knee_y,kp_right_knee_x,kp_right_knee_y,kp_left_ankle_x,kp_left_ankle_y,kp_right_ankle_x,kp_right_ankle_y,kp_left_heel_x,kp_left_heel_y,kp_right_heel_x,kp_right_heel_y,kp_left_foot_index_x,kp_left_foot_index_y,kp_right_foot_index_x,kp_right_foot_index_y,visibilidad_promedio,clase_nombre,clase_id,archivo
2.0958,153.7602,170.6576,178.4706,158.6398,153.5266,80.5682,85.0025,175.9257,173.2165,0.161357,-0.241315,0.076983,0.124787,-1.359307,0.137872,-1.413974,0.043959,-1.425512,0.114615,-1.383817,-0.086952,-1.388271,0.195138,-0.96084,-0.268278,-1.037822,0.295377,-0.488912,-0.437285,-0.524255,0.538159,-0.12004,-0.364325,-0.021547,0.131407,-0.011491,-0.131407,0.011491,0.133785,0.571308,-0.124424,0.628837,0.050162,1.092882,-0.133197,1.19909,-0.028735,1.172352,-0.198709,1.271625,0.240697,1.198482,0.063445,1.347211,0.9651,BIEN DE PIE,0,1770857368004.jpg
4.4227,152.8524,-1.0,177.9683,-1.0,160.5284,68.8913,65.152,-1.0,178.6356,0.163893,-0.22575,0.036308,0.086779,-1.388344,0.01764,-1.437645,0.00828,-1.422129,-0.046036,-1.363221,-0.060296,-1.34415,-0.12414,-1.015176,-0.030089,-0.978868,0.054979,-0.609216,0.044759,-0.398888,0.305977,-0.767864,0.294905,0.095775,-0.044511,-0.020612,0.044511,0.020612,0.074122,0.526263,0.076414,0.649501,0.055179,1.116363,0.085874,1.270717,0.010761,1.238071,0.020491,1.419548,0.282554,1.157379,0.427377,1.311551,0.8902,BIEN DE PIE,0,1770858868316.jpg
2.9662,150.1152,171.976,173.0063,-1.0,133.3289,74.1592,85.3863,179.5938,176.192,0.250766,-0.190056,0.016488,0.302513,-1.387013,0.255014,-1.455515,0.243919,-1.454859,0.16365,-1.41637,0.159975,-1.414711,0.080802,-1.006904,0.022692,-0.990416,0.034981,-0.507442,-0.04493,-0.431694,0.142444,-0.157829,0.223244,-0.10948,0.041018,-0.00331,-0.041018,0.00331,0.019915,0.645166,-0.039331,0.695583,-0.079241,1.214013,-0.114265,1.319004,-0.14241,1.304714,-0.193238,1.439171,0.200093,1.340764,0.1803,1.449863,0.9033,BIEN DE PIE,0,1770863259588.jpg
1.3692,141.6107,-1.0,174.2711,-1.0,164.4678,74.133,14.1322,-1.0,177.2379,0.309671,-0.259286,0.045537,0.285776,-1.410362,0.243778,-1.483765,0.210892,-1.479095,0.114452,-1.453017,0.081534,-1.447119,0.056209,-1.022483,-0.103999,-0.976946,0.07546,-0.496015,-0.083109,-0.357907,0.249701,-0.102828,0.079435,0.158719,-0.004545,-0.018052,0.004545,0.018052,-0.063894,0.571016,0.106018,0.659607,-0.154996,1.091735,0.269346,1.281433,-0.19753,1.190809,0.215781,1.429553,0.105338,1.159051,0.601054,1.352966,0.8629,BIEN DE PIE,0,1770864136271.jpg
0.3977,144.4566,170.9057,174.6171,-1.0,107.9205,24.7122,29.3888,179.7426,177.5515,0.282387,-0.258865,0.080008,0.275447,-1.401092,0.218547,-1.472715,0.200242,-1.463069,0.121886,-1.425532,0.095814,-1.411742,-0.025351,-1.03998,0.01147,-0.959972,0.038007,-0.558867,0.138429,-0.34962,0.426762,-0.480849,0.620588,-0.297496,-0.019655,-0.034898,0.019655,0.034898,-0.018958,0.558852,-0.002087,0.664714,-0.097273,1.051805,-0.071633,1.20313,-0.168091,1.15764,-0.15267,1.310448,0.15099,1.114863,0.231805,1.287734,0.9143,BIEN DE PIE,0,18.jpeg
1.577,137.5971,-1.0,-1.0,-1.0,91.434,50.6497,16.1072,-1.0,177.2259,0.311765,-0.335721,0.06367,0.284245,-1.360474,0.260786,-1.437625,0.236936,-1.435906,0.145201,-1.428432,0.123729,-1.422479,0.011306,-1.031456,-0.066345,-0.967786,0.118419,-0.528761,0.067734,-0.32379,0.472218,-0.526577,0.527701,-0.407604,0.009376,-0.032469,-0.009376,0.032469,0.013448,0.550728,-0.004146,0.649608,-0.003041,1.062232,-0.057696,1.182957,-0.066916,1.165486,-0.135034,1.279137,0.251161,1.121718,0.235228,1.275454,0.773,BIEN DE PIE,0,19.jpeg
1.0614,149.0148,170.4441,179.7037,-1.0,171.6877,74.2902,71.3811,178.2676,176.0079,0.254065,-0.193189,0.051913,0.272588,-1.405683,0.226712,-1.464158,0.197351,-1.457761,0.130284,-1.423056,0.075744,-1.410739,0.110805,-1.025785,-0.073759,-0.973872,0.058855,-0.479349,-0.095562,-0.340345,0.109434,-0.042855,-0.03388,0.214712,0.058401,-0.019676,-0.058401,0.019676,0.04564,0.565527,-0.0945,0.684835,-0.041677,1.02304,-0.128568,1.257782,-0.136492,1.153976,-0.203979,1.351352,0.253381,1.190974,0.193543,1.395748,0.9199,BIEN DE PIE,0,2.jpeg
9.9117,141.8076,-1.0,172.8747,-1.0,68.568,73.9208,82.623,-1.0,170.8476,0.217947,-0.241825,0.036025,0.045816,-1.390171,-0.001482,-1.45962,-0.031529,-1.451306,-0.105291,-1.415123,-0.13829,-1.398508,-0.109639,-1.003087,-0.234622,-0.967061,0.180744,-0.594327,0.097758,-0.473333,0.411059,-0.888307,0.369897,-0.867535,0.033585,-0.004348,-0.033585,0.004348,-0.002453,0.717927,-0.001672,0.723711,-0.029548,1.400717,-0.061278,1.466959,-0.092512,1.521668,-0.051653,1.576032,0.205196,1.497242,0.22481,1.630534,0.8342,BIEN DE PIE,0,20.jpeg
1.9363,140.6153,171.9875,174.6923,-1.0,163.767,64.1157,65.9997,178.0918,177.5193,0.278604,-0.200495,0.050503,0.244816,-1.363191,0.198172,-1.424887,0.173815,-1.421857,0.107518,-1.391071,0.067383,-1.381418,0.018251,-1.024681,-0.085828,-0.974177,0.035096,-0.477243,-0.0793,-0.41215,0.099209,-0.040201,0.067215,0.070135,0.030915,-0.013765,-0.030915,0.013765,0.018775,0.570466,-0.022759,0.680601,-0.062103,1.069656,-0.071967,1.291268,-0.155758,1.13162,-0.152483,1.420718,0.181414,1.186739,0.233512,1.421295,0.8945,BIEN DE PIE,0,20260129_082948.jpg
0.2483,131.0632,-1.0,174.2573,-1.0,161.6706,80.6523,79.069,-1.0,178.6772,0.335478,-0.219621,0.016632,0.339813,-1.28972,0.301867,-1.358838,0.289433,-1.358873,0.185487,-1.347777,0.179443,-1.342629,-0.046186,-1.008307,0.054854,-0.991674,-0.102931,-0.426557,0.073437,-0.385255,0.045795,0.01176,0.244583,0.082817,-0.035171,-0.006793,0.035171,0.006793,-0.038647,0.624822,0.037499,0.696243,-0.089695,1.190604,-0.0238,1.327184,-0.159745,1.278561,-0.099251,1.424901,0.169457,1.272579,0.266773,1.409957,0.8584,BIEN DE PIE,0,20260129_083159.jpg
